Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Exp_1	Peptides Exp_2	Peptides Exp_5	Peptides Exp_6	Razor + unique peptides Exp_1	Razor + unique peptides Exp_2	Razor + unique peptides Exp_5	Razor + unique peptides Exp_6	Unique peptides Exp_1	Unique peptides Exp_2	Unique peptides Exp_5	Unique peptides Exp_6	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L Exp_1	Ratio M/L normalized Exp_1	Ratio M/L variability [%] Exp_1	Ratio M/L count Exp_1	Ratio M/L iso-count Exp_1	Ratio M/L type Exp_1	Ratio H/L Exp_1	Ratio H/L normalized Exp_1	Ratio H/L variability [%] Exp_1	Ratio H/L count Exp_1	Ratio H/L iso-count Exp_1	Ratio H/L type Exp_1	Ratio H/M Exp_1	Ratio H/M normalized Exp_1	Ratio H/M variability [%] Exp_1	Ratio H/M count Exp_1	Ratio H/M iso-count Exp_1	Ratio H/M type Exp_1	Ratio M/L Exp_2	Ratio M/L normalized Exp_2	Ratio M/L variability [%] Exp_2	Ratio M/L count Exp_2	Ratio M/L iso-count Exp_2	Ratio M/L type Exp_2	Ratio H/L Exp_2	Ratio H/L normalized Exp_2	Ratio H/L variability [%] Exp_2	Ratio H/L count Exp_2	Ratio H/L iso-count Exp_2	Ratio H/L type Exp_2	Ratio H/M Exp_2	Ratio H/M normalized Exp_2	Ratio H/M variability [%] Exp_2	Ratio H/M count Exp_2	Ratio H/M iso-count Exp_2	Ratio H/M type Exp_2	Ratio M/L Exp_5	Ratio M/L normalized Exp_5	Ratio M/L variability [%] Exp_5	Ratio M/L count Exp_5	Ratio M/L iso-count Exp_5	Ratio M/L type Exp_5	Ratio H/L Exp_5	Ratio H/L normalized Exp_5	Ratio H/L variability [%] Exp_5	Ratio H/L count Exp_5	Ratio H/L iso-count Exp_5	Ratio H/L type Exp_5	Ratio H/M Exp_5	Ratio H/M normalized Exp_5	Ratio H/M variability [%] Exp_5	Ratio H/M count Exp_5	Ratio H/M iso-count Exp_5	Ratio H/M type Exp_5	Ratio M/L Exp_6	Ratio M/L normalized Exp_6	Ratio M/L variability [%] Exp_6	Ratio M/L count Exp_6	Ratio M/L iso-count Exp_6	Ratio M/L type Exp_6	Ratio H/L Exp_6	Ratio H/L normalized Exp_6	Ratio H/L variability [%] Exp_6	Ratio H/L count Exp_6	Ratio H/L iso-count Exp_6	Ratio H/L type Exp_6	Ratio H/M Exp_6	Ratio H/M normalized Exp_6	Ratio H/M variability [%] Exp_6	Ratio H/M count Exp_6	Ratio H/M iso-count Exp_6	Ratio H/M type Exp_6	Sequence coverage Exp_1 [%]	Sequence coverage Exp_2 [%]	Sequence coverage Exp_5 [%]	Sequence coverage Exp_6 [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity Exp_1	Intensity L Exp_1	Intensity M Exp_1	Intensity H Exp_1	Intensity Exp_2	Intensity L Exp_2	Intensity M Exp_2	Intensity H Exp_2	Intensity Exp_5	Intensity L Exp_5	Intensity M Exp_5	Intensity H Exp_5	Intensity Exp_6	Intensity L Exp_6	Intensity M Exp_6	Intensity H Exp_6	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	GlyGly (K) site IDs	NEM site IDs	Oxidation (M) site IDs	GlyGly (K) site positions	NEM site positions	Oxidation (M) site positions
P09493-9;P09493-3;H0YL52;P09493-4;P09493-10;P09493;Q6ZN40;H0YKX5;H0YKP3;H7BYY1;P09493-2;P09493-8;P09493-7;H0YNC7;F5H7S3;H0YK48;B7Z596;P09493-5;P09493-6;H0YL80;K7EP68;H0YK20;H0YL42;H0YKZ6;A0A087WTJ7	P09493-9;P09493-3;H0YL52;P09493-4;P09493-10;P09493;Q6ZN40;H0YKX5;H0YKP3;H7BYY1;P09493-2;P09493-8;P09493-7;H0YNC7;F5H7S3;H0YK48;B7Z596;P09493-5;P09493-6	22;22;20;20;20;20;18;16;15;14;14;14;14;12;12;12;12;12;12;8;7;5;5;4;4	22;22;20;20;20;20;18;16;15;14;14;14;14;12;12;12;12;12;12;8;7;5;5;4;4	11;11;9;9;9;9;7;5;4;7;7;7;7;5;5;5;5;5;5;1;0;5;5;4;4	Tropomyosin alpha-1 chain	TPM1	>sp|P09493-9|TPM1_HUMAN Isoform 9 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1;>sp|P09493-3|TPM1_HUMAN Isoform 3 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1;>tr|H0YL52|H0YL52_HUMAN Tropomyosin alpha-1 chain (Fragment) OS=Homo sapiens GN=TP	25	22	22	11	14	1	20	0	14	1	20	0	6	0	10	0	50	50	32.7	32.736	284	284;284;265;284;284;284;326;142;157;248;228;284;284;223;245;248;275;245;284;68;138;92;108;70;106	0	323.31	0.87678	0.37947	131.64	30	0	Median	0.60773	0.78983	164.9	30	0	Median	0.68879	0.61805	57.002	30	0	Median	1.5548	0.65651	89.798	14	0	Median	2.5075	2.0282	111.7	14	0	Median	1.7546	0.74869	69.612	14	0	Median	3.3456	2.5162	40.805	2	2	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	0.37574	0.1316	111.16	16	0	Median	0.12428	0.17376	130.94	16	0	Median	0.34697	0.55948	31.481	16	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	32.7	4.9	50	0	1066200000	545920000	287230000	233080000	307670000	60318000	89296000	158060000	8288100	1677900	6370600	239540	750260000	483920000	191560000	74778000	0	0	0	0				1013	1160;1328;1329;4983;5951;5952;6304;6305;6533;6534;6896;6897;7016;8582;10366;10367;10820;10821;11436;11536;11537;13475	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1204;1373;1374;5165;6166;6167;6531;6532;6766;6767;7142;7143;7270;8891;10830;10831;11298;11299;11934;12037;12038;14065	3690;3691;3692;3693;3694;4146;4147;4148;4149;15469;18599;18600;18601;18602;18603;18604;18605;18606;18607;18608;18609;19845;19846;20539;20540;20541;20542;21835;21836;21837;21838;21839;21840;21841;21842;21843;22354;22355;27512;33617;33618;33619;35323;35324;35325;35326;37109;37521;37522;37523;37524;37525;37526;37527;37528;37529;44168	4226;4227;4228;4229;4230;4231;4232;4233;4749;4750;4751;4752;4753;4754;4755;17748;17749;21409;21410;21411;21412;21413;21414;21415;21416;21417;21418;21419;21420;21421;21422;21423;22869;22870;23657;23658;23659;23660;23661;25163;25164;25165;25166;25167;25168;25169;25170;25171;25172;25173;25174;25175;25176;25788;25789;31714;38530;38531;38532;38533;40758;40759;40760;40761;40762;40763;42703;43156;43157;43158;43159;43160;43161;43162;43163;43164;43165;43166;43167;43168;50620	4229;4751;4754;17748;21409;21422;22869;22870;23657;23660;25170;25175;25789;31714;38531;38533;40758;40762;42703;43159;43167;50620			1561;1562;1563;1564			141;270;273;284
P09496-5;P09496-2	P09496-5;P09496-2	1;1	1;1	1;1			>sp|P09496-5|CLCA_HUMAN Isoform 5 of Clathrin light chain A OS=Homo sapiens GN=CLTA;>sp|P09496-2|CLCA_HUMAN Isoform Non-brain of Clathrin light chain A OS=Homo sapiens GN=CLTA	2	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	12.7	12.7	12.7	17.687	166	166;218	0	22.954	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	12.7	0	12.7	0	4002900	0	2991900	1011100	1011100	0	0	1011100	0	0	0	0	2991900	0	2991900	0	0	0	0	0				1014	59	True	62	146;147;148	147;148;149	147						
P09497-2;P09497	P09497-2;P09497	3;2	3;2	3;2	Clathrin light chain B	CLTB	>sp|P09497-2|CLCB_HUMAN Isoform Non-brain of Clathrin light chain B OS=Homo sapiens GN=CLTB;>sp|P09497|CLCB_HUMAN Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1	2	3	3	3	3	0	1	0	3	0	1	0	3	0	1	0	18	18	18	23.181	211	211;229	0	14.299	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	18	0	4.3	0	4716100	0	1259300	3456800	4162300	0	1259300	2903000	0	0	0	0	553780	0	0	553780	0	0	0	0				1015	1243;1910;8114	True;True;True	1287;1975;8413	3926;3927;6064;26236;26237	4510;4511;6932;30338;30339	4511;6932;30338						
P09543-2;P09543	P09543-2;P09543	5;5	5;5	5;5	2,3-cyclic-nucleotide 3-phosphodiesterase	CNP	>sp|P09543-2|CN37_HUMAN Isoform CNPI of 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens GN=CNP;>sp|P09543|CN37_HUMAN 2,3-cyclic-nucleotide 3-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2	2	5	5	5	4	1	4	2	4	1	4	2	4	1	4	2	9.5	9.5	9.5	45.098	401	401;421	0	101.96	18.865	2.6489	133.78	6	6	Linear	4.2529	0.70067	191.71	6	6	Median	0.89826	0.85595	83.226	6	6	Median	3.5719	1.4039	146.8	3	3	Median	22.005	1.1267	232.42	3	3	Median	6.1608	1.7692	24.301	3	3	Plateau	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	25.527	9.0805	103.99	3	3	Plateau	4.99	0.46495	62.399	3	3	Plateau	0.2179	0.5164	34.618	3	3	Plateau	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7.2	3.5	9.2	6.7	97331000	3438800	58269000	35623000	29539000	797680	3158000	25583000	356400	0	0	356400	64693000	2641100	52369000	9683700	2742500	0	2742500	0				1016	508;1061;1062;6292;8825	True;True;True;True;True	524;1103;1104;6518;9156	1515;1516;1517;1518;1519;3414;3415;3416;3417;3418;19809;19810;28288	1663;1664;1665;1666;1667;3914;3915;3916;3917;3918;22832;22833;32629	1666;3914;3918;22832;32629			1565			216
P09661;H0YLR3;H0YMA0;H0YKK0	P09661;H0YLR3;H0YMA0	3;2;2;1	3;2;2;1	3;2;2;1	U2 small nuclear ribonucleoprotein A	SNRPA1	>sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens GN=SNRPA1 PE=1 SV=2;>tr|H0YLR3|H0YLR3_HUMAN U2 small nuclear ribonucleoprotein A (Fragment) OS=Homo sapiens GN=SNRPA1 PE=1 SV=1;>tr|H0YMA0|H0YMA0_HUMAN U2 small nuclear ribonucleo	4	3	3	3	2	0	2	0	2	0	2	0	2	0	2	0	16.9	16.9	16.9	28.415	255	255;89;142;154	0	43.371	1.0642	1.4278	72.581	5	5	Median	2.3484	2.1045	106.87	5	5	Median	2.2067	1.4773	35.414	5	5	Median	1.0845	1.4573	5.3174	3	3	Median	2.9034	2.6019	12.238	3	3	Plateau	2.6478	1.7352	9.6629	3	3	Plateau	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.44028	0.41402	37.483	2	2	Median	0.45136	0.35741	37.584	2	2	Median	1.0252	0.86226	0.10368	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	11.4	0	12.2	0	20997000	6047800	7019300	7929800	10962000	2431400	2476600	6054100	0	0	0	0	10035000	3616400	4542700	1875700	0	0	0	0				1017	8409;9327;12537	True;True;True	8713;9743;13077	27020;27021;27022;30231;30232;40638	31177;31178;31179;34828;34829;46580	31177;34828;46580						
P09874;Q5VX84;Q5VX85	P09874	33;4;4	33;4;4	33;4;4	Poly [ADP-ribose] polymerase 1	PARP1	>sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	3	33	33	33	29	18	21	10	29	18	21	10	29	18	21	10	39.1	39.1	39.1	113.08	1014	1014;108;155	0	323.31	12.458	2.9316	95.58	18	0	Median	14.001	1.0125	137.99	18	0	Median	1.3208	1.077	157.59	18	0	Median	11.16	1.6789	34.871	7	0	Median	14.771	0.61862	71.797	7	0	Median	1.3413	0.44051	35.238	7	0	Median	17.257	11.211	4.5909	3	0	Median	5.6959	1.4037	51.415	3	0	Median	0.31532	10.502	237.2	3	0	Median	10.757	3.1502	56.639	6	0	Median	13.892	1.0217	146.79	6	0	Median	1.3391	1.159	6.2587	6	0	Median	11.149	11.834	66.29	6	4	Median	9.3731	8.7759	182.16	6	4	Median	0.83778	5.7031	195.38	6	4	Median	35.5	21.9	26.7	14.3	2330200000	87894000	1050700000	1191600000	1367300000	54099000	566610000	746600000	144850000	6614500	111810000	26432000	674940000	24163000	288890000	361880000	143130000	3017900	83404000	56707000				1018	360;361;1006;1007;1170;2467;3948;4162;4173;4220;4340;5080;5226;5385;6385;6386;6547;7066;8018;8765;8962;9263;9824;9895;10586;11527;12788;13247;13707;13780;14603;14604;14673	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	372;373;1048;1049;1214;2570;4100;4318;4330;4381;4504;5264;5415;5576;6615;6616;6780;7320;8311;9083;9311;9312;9669;10257;10332;11058;12027;13338;13827;14306;14382;15241;15242;15313	1082;1083;1084;1085;1086;3291;3292;3293;3294;3295;3707;7716;7717;7718;12316;12849;12850;12851;12852;12853;12854;12855;12856;12857;12858;12859;12860;12905;12906;12907;12908;12909;12910;12911;12912;12913;12914;12915;12916;13135;13652;13653;13654;15729;15730;15731;16210;16211;16212;16213;16729;20122;20123;20124;20125;20126;20127;20566;22489;22490;22491;22492;25944;28056;28057;28058;28649;28650;28651;28652;28653;28654;28655;28656;28657;28658;28659;28660;28661;28662;30032;30033;30034;31842;31843;32098;32099;32100;34335;34336;37498;37499;37500;37501;37502;41650;41651;41652;41653;43463;43464;43465;43466;43467;43468;43469;45068;45069;45070;45071;45072;45073;45264;45265;47959;47960;47961;47962;47963;47964;47965;47966;48194;48195;48196;48197;48198;48199;48200;48201	1160;1161;1162;1163;1164;3776;3777;3778;3779;3780;4246;8785;8786;8787;14206;14789;14790;14791;14792;14793;14794;14795;14796;14797;14798;14799;14800;14801;14846;14847;14848;14849;14850;14851;14852;14853;14854;14855;14856;14857;15089;15708;15709;15710;18073;18074;18075;18667;18668;18669;18670;19249;23190;23191;23192;23193;23194;23195;23687;25925;25926;25927;25928;30009;32380;32381;32382;33015;33016;33017;33018;33019;33020;33021;33022;33023;33024;33025;33026;33027;33028;34618;34619;34620;36582;36583;36850;36851;36852;39304;39305;43131;43132;43133;43134;43135;47755;47756;47757;47758;49821;49822;49823;49824;49825;49826;49827;49828;51705;51706;51707;51708;51709;51710;51711;51712;51929;51930;54863;54864;54865;54866;54867;54868;54869;54870;55136;55137;55138;55139;55140;55141;55142;55143;55144	1160;1164;3777;3778;4246;8785;14206;14797;14847;15089;15708;18073;18668;19249;23190;23194;23687;25926;30009;32380;33023;34619;36582;36851;39304;43132;47757;49821;51710;51930;54863;54869;55139			1566;1567;1568;1569;1570;1571;1572;1573;1574;1575;1576;1577;1578;1579;1580			35;38;43;143;153;393;604;615;675;682;686;696;746;890;900
Q71UI9;P0C0S5;Q71UI9-3;Q71UI9-4	Q71UI9;P0C0S5;Q71UI9-3;Q71UI9-4	3;3;2;2	1;1;1;1	1;1;1;1	Histone H2A.V;Histone H2A.Z	H2AFV;H2AFZ	>sp|Q71UI9|H2AV_HUMAN Histone H2A.V OS=Homo sapiens GN=H2AFV PE=1 SV=3;>sp|P0C0S5|H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2;>sp|Q71UI9-3|H2AV_HUMAN Isoform 3 of Histone H2A.V OS=Homo sapiens GN=H2AFV;>sp|Q71UI9-4|H2AV_HUMAN Isoform 4 of H	4	3	1	1	3	3	1	2	1	1	0	1	1	1	0	1	23.4	10.9	10.9	13.509	128	128;128;90;102	0	11.332	1.058	1.4829	75.83	5	0	Median	4.3366	4.1778	80.109	5	0	Median	4.3134	2.601	44.568	5	0	Median	3.4253	5.9605	24.145	2	1	Median	13.723	13.736	28.111	2	1	Median	4.0488	2.2281	8.953	2	1	Median	0.87146	1.369	17.996	3	0	Median	3.8622	3.7207	9.9583	3	0	Median	4.3038	2.601	12.565	3	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	NaN	NaN	NaN	1	0	Median	23.4	23.4	7	18	67706000	8851600	11755000	47099000	18882000	983240	3560600	14338000	37323000	7131400	6219000	23973000	0	0	0	0	11501000	736940	1975400	8788300				1019	490;1363;5046	False;True;False	506;1408;5229	1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;1480;4239;4240;4241;4242;4243;4244;4245;15602;15603	1587;1588;1589;1590;1591;1592;1593;1594;1595;1596;1597;1598;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;1620;1621;4852;4853;4854;4855;4856;4857;4858;4859;17889;17890	1603;4856;17890						
P10155-3;P10155-5;P10155-4;P10155;P10155-2;D6RDN1;D6RE09	P10155-3;P10155-5;P10155-4;P10155;P10155-2	4;4;4;4;2;1;1	4;4;4;4;2;1;1	4;4;4;4;2;1;1	60 kDa SS-A/Ro ribonucleoprotein	TROVE2	>sp|P10155-3|RO60_HUMAN Isoform 3 of 60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2;>sp|P10155-5|RO60_HUMAN Isoform 5 of 60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2;>sp|P10155-4|RO60_HUMAN Isoform 4 of 60 kDa SS-A/Ro ribonucleopr	7	4	4	4	3	1	2	0	3	1	2	0	3	1	2	0	10.4	10.4	10.4	58.482	518	518;525;534;538;205;41;66	0	16.986	6.6007	2.8036	149.22	3	3	Median	8.4236	0.2948	88.077	3	3	Median	1.2762	1.2843	61.63	3	3	Plateau	6.6557	2.8069	0.16673	2	2	Median	8.7031	0.30458	4.6177	2	2	Median	1.3076	0.49729	3.4422	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	7.7	2.1	4.8	0	50877000	7409400	22290000	21177000	26555000	1185100	9803100	15567000	0	0	0	0	24321000	6224300	12487000	5609800	0	0	0	0				1020	852;7266;8300;8853	True;True;True;True	886;7526;8602;9186	2639;2640;23357;23358;23359;23360;26719;26720;28348	2914;2915;27007;27008;27009;27010;30838;30839;32693	2914;27010;30839;32693			1581;1582;1583			1;8;276
P10244-2;P10244	P10244-2;P10244	1;1	1;1	1;1	Myb-related protein B	MYBL2	>sp|P10244-2|MYBB_HUMAN Isoform 2 of Myb-related protein B OS=Homo sapiens GN=MYBL2;>sp|P10244|MYBB_HUMAN Myb-related protein B OS=Homo sapiens GN=MYBL2 PE=1 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	2.1	2.1	2.1	75.864	676	676;700	1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	0	2.1	0	894850	0	894850	0	0	0	0	0	0	0	0	0	894850	0	894850	0	0	0	0	0	+			1021	15250	True	15911	49942	57212	57212			1584			488
Q96II5;P10398	Q96II5;P10398	2;2	1;1	1;1	Serine/threonine-protein kinase A-Raf	ARAF	>tr|Q96II5|Q96II5_HUMAN ARAF protein OS=Homo sapiens GN=ARAF PE=1 SV=1;>sp|P10398|ARAF_HUMAN Serine/threonine-protein kinase A-Raf OS=Homo sapiens GN=ARAF PE=1 SV=2	2	2	1	1	2	0	1	0	1	0	0	0	1	0	0	0	3.4	1.8	1.8	67.925	609	609;606	0.0025575	1.5677	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	1	1	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	3.4	0	1.6	0	16231000	8959000	2319200	4953300	16231000	8959000	2319200	4953300	0	0	0	0	0	0	0	0	0	0	0	0				1022	5417;5458	False;True	5608;5651	16785;16786;16936	19307;19308;19474	19308;19474						
P10412;P16403;P16402;P22492;Q02539	P10412;P16403;P16402	5;4;4;2;2	5;4;4;2;2	5;4;4;2;2	Histone H1.4;Histone H1.2;Histone H1.3	HIST1H1E;HIST1H1C;HIST1H1D	>sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2;>sp|P16403|H12_HUMAN Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2;>sp|P16402|H13_HUMAN Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2	5	5	5	5	0	5	0	0	0	5	0	0	0	5	0	0	21.9	21.9	21.9	21.865	219	219;213;221;207;215	0	8.7545	0.47815	0.41532	148.63	6	4	Median	0.54165	0.1391	164.47	5	3	Median	1.2354	0.48624	106.93	5	3	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0.47815	0.41532	148.63	6	4	Median	0.54165	0.1391	164.47	5	3	Median	1.2354	0.48624	106.93	5	3	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	0	21.9	0	0	68044000	60762000	3371900	3910400	0	0	0	0	68044000	60762000	3371900	3910400	0	0	0	0	0	0	0	0				1023	696;697;1258;6301;11258	True;True;True;True;True	723;724;1302;6528;11749	2149;2150;2151;3972;3973;3974;3975;19839;19840;36579;36580	2371;2372;2373;4559;4560;4561;4562;4563;22863;22864;42109;42110	2371;2372;4562;22864;42109						
P10599;P10599-2	P10599;P10599-2	3;2	3;2	3;2	Thioredoxin	TXN	>sp|P10599|THIO_HUMAN Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3;>sp|P10599-2|THIO_HUMAN Isoform 2 of Thioredoxin OS=Homo sapiens GN=TXN	2	3	3	3	3	3	0	0	3	3	0	0	3	3	0	0	34.3	34.3	34.3	11.737	105	105;85	0	6.1591	0.17293	0.22765	72.845	8	8	Median	0.20837	0.20855	84.641	6	6	Median	1.1343	0.65625	96.872	6	6	Median	0.20981	0.35827	71.775	4	4	Median	0.20837	0.20855	28.385	4	4	Median	1.1258	0.62155	81.783	4	4	Median	0.13288	0.17854	64.087	4	4	Median	0.32457	0.32165	173.64	2	2	Median	2.4425	1.4443	134.19	2	2	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	34.3	34.3	0	0	24306000	16761000	2068600	5476400	10255000	7416000	1094400	1744800	14051000	9344500	974290	3731700	0	0	0	0	0	0	0	0				1024	2679;8968;12353	True;True;True	2787;9319;12882	8415;8416;28673;28674;40070;40071;40072;40073;40074	9607;9608;33040;33041;45976;45977;45978;45979;45980	9607;33040;45977			1585			37
